Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-03-22,2069.02,2072.16,2025.07,2028.2,1225299
2005-03-23,2028.2,2028.2,2003.09,2012.51,1102037
2005-03-24,2037.63,2062.74,2031.35,2037.63,1309394
2005-03-25,2043.91,2075.3,2040.77,2056.46,1266388
2005-03-28,2069.02,2072.16,2037.63,2040.77,563759
2005-03-29,2037.63,2050.18,2009.37,2025.07,754550
2005-03-30,2047.04,2050.18,2015.65,2040.77,750715
2005-03-31,2043.91,2043.91,2015.65,2037.63,835129
2005-04-01,2025.07,2047.04,2018.79,2034.48,464064
2005-04-04,2031.35,2034.48,2006.23,2009.37,539874
2005-04-05,1915.18,1934.01,1893.2,1902.62,6258041
2005-04-06,1937.17,1946.58,1924.6,1940.3,2964675
2005-04-07,1927.74,1937.17,1918.32,1927.74,1673765
2005-04-08,1943.43,1943.43,1918.32,1924.6,1510053
2005-04-11,1918.32,1918.32,1896.34,1899.48,1433285
2005-04-12,1899.48,1905.76,1877.51,1893.2,1136436
2005-04-13,1893.2,1893.2,1839.83,1861.8,1889390
2005-04-14,1824.13,1880.65,1824.13,1874.36,2779298
2005-04-15,1915.18,1943.43,1896.34,1921.46,4976695
2005-04-18,1921.46,1927.74,1861.8,1861.8,1974114
2005-04-19,1868.08,1905.76,1861.8,1880.65,2363649
2005-04-20,1924.6,1927.74,1893.2,1918.32,2520990
2005-04-21,1921.46,1959.13,1899.48,1946.58,3723356
2005-04-22,1974.84,1977.97,1934.01,1949.72,2168080
2005-04-25,1946.58,1959.13,1921.46,1937.17,869847
2005-04-26,1974.84,1974.84,1940.3,1949.72,1257152
2005-04-27,1952.85,1962.27,1934.01,1949.72,694664
2005-04-28,1943.43,1952.85,1915.18,1949.72,995338
2005-05-02,1955.99,1962.27,1934.01,1955.99,786391
2005-05-06,1959.13,1959.13,1924.6,1940.3,1050441
2005-05-09,1908.9,1921.46,1883.79,1893.2,1762309
2005-05-10,1905.76,1918.32,1883.79,1883.79,1482020
2005-05-11,1886.92,1890.05,1871.23,1890.05,724610
2005-05-12,1871.23,1877.51,1802.15,1811.57,2602213
2005-05-13,1817.86,1861.8,1814.71,1846.11,1779501
2005-05-16,1864.94,1871.23,1852.39,1861.8,1148218
2005-05-17,1877.51,1880.65,1824.13,1839.83,1664520
2005-05-18,1868.08,1868.08,1836.69,1849.25,763464
2005-05-19,1861.8,1861.8,1846.11,1852.39,653577
2005-05-20,1868.08,1871.23,1855.52,1861.8,1500175
2005-05-23,1858.67,1902.62,1855.52,1902.62,1398886
2005-05-24,1918.32,1918.32,1877.51,1899.48,1098534
2005-05-25,1899.48,1899.48,1871.23,1871.23,1544446
2005-05-26,1874.36,1874.36,1814.71,1820.99,1497943
2005-05-27,1814.71,1814.71,1795.87,1802.15,1532339
2005-05-30,1811.57,1824.13,1805.29,1805.29,1320530
2005-05-31,1805.29,1817.86,1792.74,1802.15,909659
2005-06-01,1795.87,1802.15,1767.62,1773.9,1278812
2005-06-02,1786.45,1792.74,1755.06,1773.9,2581828
2005-06-03,1755.06,1761.34,1736.22,1748.78,1574383
2005-06-06,1742.5,1786.45,1733.08,1780.18,1417355
2005-06-07,1773.9,1780.18,1751.92,1761.34,626827
2005-06-08,1755.06,1817.86,1755.06,1817.86,1606872
2005-06-09,1808.43,1808.43,1777.03,1786.45,1450172
2005-06-10,1777.03,1817.86,1764.48,1817.86,1406851
2005-06-13,1824.13,1855.52,1820.99,1842.97,1853711
2005-06-14,1839.83,1839.83,1802.15,1802.15,779065
2005-06-15,1817.86,1817.86,1799.01,1811.57,590193
2005-06-16,1811.57,1836.69,1811.57,1824.13,730334
2005-06-17,1833.55,1868.08,1830.41,1852.39,1398570
2005-06-20,1874.36,1874.36,1827.27,1830.41,743079
2005-06-21,1836.69,1861.8,1824.13,1852.39,825893
2005-06-22,1839.83,1839.83,1811.57,1827.27,1131342
2005-06-23,1817.86,1824.13,1808.43,1811.57,590193
2005-06-24,1808.43,1820.99,1799.01,1808.43,521396
2005-06-27,1802.15,1805.29,1770.76,1770.76,865702
2005-06-28,1770.76,1802.15,1767.62,1799.01,952658
2005-06-29,1805.29,1808.43,1783.31,1789.59,1130068
2005-06-30,1799.01,1817.86,1792.74,1808.43,859018
2005-07-01,1811.57,1814.71,1802.15,1802.15,567899
2005-07-04,1820.99,1871.23,1817.86,1864.94,1498901
2005-07-05,1977.97,2053.33,1974.84,2037.63,7894546
2005-07-06,2025.07,2043.91,2012.51,2037.63,1893210
2005-07-07,2006.23,2021.92,1981.12,1993.67,1725365
2005-07-08,1993.67,2018.79,1984.25,1987.39,677143
2005-07-11,2034.48,2059.61,2018.79,2056.46,2341670
2005-07-12,2053.33,2062.74,2037.63,2040.77,1401754
2005-07-13,2009.37,2015.65,1965.41,1981.12,2405687
2005-07-14,1993.67,1996.81,1981.12,1987.39,1163192
2005-07-15,1987.39,1987.39,1918.32,1927.74,2307907
2005-07-19,1946.58,1962.27,1940.3,1946.58,835129
2005-07-20,1962.27,1999.95,1955.99,1993.67,1575980
2005-07-21,2009.37,2009.37,1981.12,1981.12,728430
2005-07-22,1981.12,1999.95,1968.55,1984.25,1258104
2005-07-25,1984.25,2006.23,1981.12,1996.81,658039
2005-07-26,2009.37,2015.65,1971.7,2003.09,770790
2005-07-27,2009.37,2034.48,2003.09,2034.48,1012542
2005-07-28,2037.63,2053.33,2034.48,2053.33,954884
2005-07-29,2053.33,2084.72,2053.33,2069.02,1164150
2005-08-01,2081.58,2128.67,2081.58,2109.84,1324037
2005-08-02,2084.72,2103.56,2025.07,2043.91,2536281
2005-08-03,2075.3,2103.56,2037.63,2062.74,2692028
2005-08-04,2043.91,2059.61,2025.07,2053.33,833855
2005-08-05,2021.92,2034.48,2006.23,2012.51,1158731
2005-08-08,2003.09,2012.51,1977.97,2009.37,759325
2005-08-09,2006.23,2065.89,2006.23,2050.18,1287406
2005-08-10,2075.3,2100.42,2069.02,2097.27,1170196
2005-08-11,2103.56,2116.11,2091,2112.98,1526287
2005-08-12,2128.67,2147.52,2116.11,2138.09,1578841
2005-08-15,2420.67,2452.06,2285.66,2317.05,13738529
2005-08-16,2326.47,2417.52,2304.49,2382.99,5787608
2005-08-17,2386.13,2467.76,2382.99,2439.49,5971073
2005-08-18,2442.64,2511.72,2442.64,2486.6,6892827
2005-08-19,2455.2,2467.76,2414.38,2436.35,9704301
2005-08-22,2439.49,2499.15,2436.35,2499.15,4787808
2005-08-23,2502.29,2568.23,2502.29,2558.8,7815868
2005-08-24,2549.38,2574.5,2517.99,2574.5,10119959
2005-08-25,2621.6,2825.67,2615.32,2825.67,61163103
2005-08-26,2649.86,2659.27,2533.69,2568.23,17660632
2005-08-29,2536.83,2558.8,2530.54,2555.66,4466122
2005-08-30,2602.76,2681.25,2587.07,2612.18,3920199
2005-08-31,2627.88,2674.97,2605.89,2646.72,2577045
2005-09-01,2637.29,2740.91,2621.6,2703.23,3679405
2005-09-02,2706.37,2781.72,2706.37,2759.74,3712526
2005-09-05,2762.88,2766.02,2703.23,2703.23,2635018
2005-09-06,2718.93,2756.6,2662.41,2665.55,2019978
2005-09-07,2665.55,2703.23,2627.88,2649.86,3679083
2005-09-08,2618.45,2624.74,2583.92,2605.89,3545317
2005-09-09,2574.5,2590.21,2552.52,2577.64,11074202
2005-09-12,2643.57,2653,2580.79,2624.74,2092598
2005-09-13,2627.88,2646.72,2605.89,2631.02,1642545
2005-09-14,2634.16,2643.57,2609.04,2618.45,1179755
2005-09-15,2605.89,2728.34,2596.48,2703.23,2608582
2005-09-16,2703.23,2731.48,2634.16,2659.27,1622789
2005-09-20,2634.16,2712.65,2634.16,2690.68,1459402
2005-09-21,2718.93,2737.76,2671.83,2700.09,1792566
2005-09-22,2725.2,2747.18,2684.39,2709.51,1305881
2005-09-26,2759.74,2800.55,2753.46,2794.28,1538710
2005-09-27,2762.88,2794.28,2703.23,2772.29,1904672
2005-09-28,2740.91,2762.88,2718.93,2731.48,1564189
2005-09-29,2728.34,2759.74,2684.39,2715.8,2138140
2005-09-30,2731.48,2731.48,2649.86,2703.23,2009465
2005-10-03,2671.83,2725.2,2656.14,2656.14,1472145
2005-10-04,2671.83,2684.39,2621.6,2653,2153118
2005-10-05,2684.39,2700.09,2643.57,2656.14,2081133
2005-10-06,2659.27,2659.27,2568.23,2590.21,1888432
2005-10-07,2558.8,2599.62,2549.38,2549.38,2097057
2005-10-11,2552.52,2637.29,2524.27,2637.29,2196114
2005-10-12,2593.34,2627.88,2552.52,2571.36,2176364
2005-10-13,2580.79,2653,2543.11,2609.04,2059155
2005-10-14,2671.83,2671.83,2546.25,2577.64,5485985
2005-10-17,2609.04,2609.04,2552.52,2596.48,1683315
2005-10-18,2565.08,2583.92,2514.85,2543.11,1865186
2005-10-19,2514.85,2533.69,2461.47,2464.61,1791605
2005-10-20,2477.18,2533.69,2470.89,2483.45,1744469
2005-10-21,2452.06,2483.45,2411.24,2433.22,2840459
2005-10-24,2464.61,2521.13,2445.78,2492.87,1442205
2005-10-25,2543.11,2571.36,2527.41,2568.23,1646048
2005-10-26,2590.21,2599.62,2558.8,2574.5,1331041
2005-10-27,2599.62,2599.62,2549.38,2580.79,1269895
2005-10-28,2527.41,2558.8,2470.89,2480.32,3069778
2005-10-31,2492.87,2558.8,2464.61,2555.66,1661658
2005-11-01,2577.64,2602.76,2561.94,2602.76,781617
2005-11-02,2621.6,2621.6,2533.69,2571.36,1173064
2005-11-04,2574.5,2577.64,2505.42,2536.83,2882816
2005-11-07,2505.42,2521.13,2483.45,2517.99,1543168
2005-11-08,2486.6,2508.57,2474.03,2486.6,1385186
2005-11-09,2483.45,2517.99,2464.61,2502.29,1335189
2005-11-10,2477.18,2499.15,2474.03,2483.45,1366714
2005-11-11,2508.57,2599.62,2458.34,2552.52,3540539
2005-11-14,2530.54,2565.08,2521.13,2546.25,1095341
2005-11-15,2539.96,2561.94,2514.85,2530.54,1207779
2005-11-16,2499.15,2517.99,2480.32,2492.87,1198865
2005-11-17,2496.01,2536.83,2477.18,2508.57,1062539
2005-11-18,2539.96,2549.38,2524.27,2549.38,1325311
2005-11-21,2558.8,2577.64,2530.54,2552.52,2182413
2005-11-22,2587.07,2627.88,2558.8,2605.89,3432879
2005-11-24,2653,2653,2524.27,2539.96,2281470
